dataset,luminosity_scale,mass_reach_scale,combinations,categories,fittable_spectra,N_trials,Z_local,lensed_histograms,lensed_N_trials,lensed_Z_local,tier0_spectra,tier1_spectra,tier2_spectra,tier0_looks,tier1_looks,tier2_looks,tier0_Z_local,motivated_spectra,motivated_frac,compositions_fittable,final_states_predicted,k2_spectra,k3_spectra,k4_spectra,published_axes_gated,published_axes_total,published_looks_gated,published_looks_total,anchor_x0.01_spectra,anchor_x0.01_Z,anchor_x100_spectra,anchor_x100_Z,costliest_compositions
"Run 2, 140 fb-1",1,1.00,21644,2412,3603,161020,7.00,6611,285962,7.08,162,2445,996,8501,116612,35908,6.56,162,0.045,217,75,2662,831,110,46,59,3090,4207,1284,6.84,7768,7.12,gg:11519; eg:11482; ee:10968; ej:10667; jj:10648; gj:8666
"Run 2+3, ~400 fb-1",3,1.20,21644,2412,4438,201136,7.03,8211,362815,7.11,164,2944,1330,9178,143036,48922,6.58,164,0.037,258,76,3251,1045,142,49,59,3306,4207,1729,6.88,8923,7.14,gg:13981; eg:13838; ee:12894; ej:12018; jj:11234; gj:10210
