q,z1,t_match,EK_null,P_hit,EK_given_hit,z_med,z_p16,z_p84,z_min,z_med_mu4,P_hit_mu4,z_med_mu5,P_hit_mu5
0.0010,5.3999,5.4054,0.0010,0.0010,1.0000,5.5330,5.4227,5.6986,5.4006,5.7451,0.0811,5.9466,0.3459
0.0100,4.9708,4.9728,0.0099,0.0098,1.0143,5.1052,5.0056,5.3097,4.8378,5.3509,0.1746,5.6371,0.5173
0.0500,4.6491,4.6268,0.0557,0.0501,1.1122,4.7682,4.6676,4.9906,4.3716,5.0044,0.2975,5.3531,0.6579
0.1000,4.5041,4.4580,0.1241,0.1004,1.2366,4.6117,4.5070,4.8350,4.0813,4.7925,0.3809,5.1459,0.7254
0.2000,4.3546,4.2554,0.3131,0.2000,1.5656,4.4260,4.2280,4.6568,3.7409,4.5171,0.4990,4.7677,0.8012
0.3810,4.2112,3.9894,0.9936,0.3819,2.6020,4.1825,3.9104,4.4340,3.3663,4.1944,0.6559,4.2367,0.8788
0.5000,4.1494,3.8207,1.9960,0.4995,3.9956,4.0033,3.7151,4.3097,3.1095,3.9963,0.7399,4.0157,0.9148
0.8000,4.0405,3.2100,19.9130,0.7996,24.9039,3.4041,3.0267,3.8924,2.1878,3.3796,0.9137,3.3957,0.9754
