category,group,charge_split,r,M_lo_GeV,M_hi_GeV,M_hi_fittable_GeV,n_s
e1m1j0b1Z1_1met,emb,2,0.060,150,4000,150,0.0
e1m1j0b1Z1_1met,emZ,2,0.020,171,4000,171,0.0
e1m1j0b1Z1_1met,ebZ,2,0.060,171,4000,171,0.0
e1m1j0b1Z1_1met,mbZ,2,0.060,171,4000,171,0.0
e1m1j0b1Z1_1met,embZ,2,0.053,211,3000,211,0.0
e1m1j0b2Z0_0met,em,2,0.020,100,5000,575,174.9
e1m1j0b2Z0_0met,eb,2,0.072,100,5000,712,54.4
e1m1j0b2Z0_0met,eb,2,0.072,100,5000,712,54.4
e1m1j0b2Z0_0met,mb,2,0.072,100,5000,712,54.4
e1m1j0b2Z0_0met,mb,2,0.072,100,5000,712,54.4
e1m1j0b2Z0_0met,bb,2,0.100,100,5000,100,0.0
e1m1j0b2Z0_0met,emb,2,0.060,150,4000,690,50.9
e1m1j0b2Z0_0met,emb,2,0.060,150,4000,690,50.9
e1m1j0b2Z0_0met,ebb,2,0.082,150,4000,150,0.0
e1m1j0b2Z0_0met,mbb,2,0.082,150,4000,150,0.0
e1m1j0b2Z0_0met,embb,2,0.072,200,3000,200,0.0
e1m1j0b2Z0_1met,em,2,0.020,100,5000,218,78.0
e1m1j0b2Z0_1met,eb,2,0.072,100,5000,100,0.0
e1m1j0b2Z0_1met,eb,2,0.072,100,5000,100,0.0
e1m1j0b2Z0_1met,mb,2,0.072,100,5000,100,0.0
e1m1j0b2Z0_1met,mb,2,0.072,100,5000,100,0.0
e1m1j0b2Z0_1met,bb,2,0.100,100,5000,100,0.0
e1m1j0b2Z0_1met,emb,2,0.060,150,4000,150,0.0
e1m1j0b2Z0_1met,emb,2,0.060,150,4000,150,0.0
e1m1j0b2Z0_1met,ebb,2,0.082,150,4000,150,0.0
e1m1j0b2Z0_1met,mbb,2,0.082,150,4000,150,0.0
e1m1j0b2Z0_1met,embb,2,0.072,200,3000,200,0.0
e1m1j1b0Z0_0met,em,2,0.020,100,5000,1238,251.6
e1m1j1b0Z0_0met,ej,2,0.038,100,5000,1378,137.8
e1m1j1b0Z0_0met,mj,2,0.038,100,5000,1378,137.8
e1m1j1b0Z0_0met,emj,2,0.033,150,4000,1347,132.4
e1m1j1b0Z0_1met,em,2,0.020,100,5000,470,154.8
e1m1j1b0Z0_1met,ej,2,0.038,100,5000,523,86.9
e1m1j1b0Z0_1met,mj,2,0.038,100,5000,523,86.9
e1m1j1b0Z0_1met,emj,2,0.033,150,4000,512,74.0
e1m1j1b0Z1_0met,em,2,0.020,100,5000,182,59.7
e1m1j1b0Z1_0met,ej,2,0.038,100,5000,100,0.0
e1m1j1b0Z1_0met,eZ,2,0.020,131,5000,131,0.0
e1m1j1b0Z1_0met,mj,2,0.038,100,5000,100,0.0
e1m1j1b0Z1_0met,mZ,2,0.020,131,5000,131,0.0
e1m1j1b0Z1_0met,jZ,2,0.038,131,5000,131,0.0
e1m1j1b0Z1_0met,emj,2,0.033,150,4000,150,0.0
e1m1j1b0Z1_0met,emZ,2,0.020,171,4000,171,0.0
e1m1j1b0Z1_0met,ejZ,2,0.033,171,4000,171,0.0
e1m1j1b0Z1_0met,mjZ,2,0.033,171,4000,171,0.0
e1m1j1b0Z1_0met,emjZ,2,0.030,211,3000,211,0.0
e1m1j1b0Z1_1met,em,2,0.020,100,5000,100,0.0
e1m1j1b0Z1_1met,ej,2,0.038,100,5000,100,0.0
e1m1j1b0Z1_1met,eZ,2,0.020,131,5000,131,0.0
e1m1j1b0Z1_1met,mj,2,0.038,100,5000,100,0.0
e1m1j1b0Z1_1met,mZ,2,0.020,131,5000,131,0.0
e1m1j1b0Z1_1met,jZ,2,0.038,131,5000,131,0.0
e1m1j1b0Z1_1met,emj,2,0.033,150,4000,150,0.0
e1m1j1b0Z1_1met,emZ,2,0.020,171,4000,171,0.0
e1m1j1b0Z1_1met,ejZ,2,0.033,171,4000,171,0.0
e1m1j1b0Z1_1met,mjZ,2,0.033,171,4000,171,0.0
e1m1j1b0Z1_1met,emjZ,2,0.030,211,3000,211,0.0
e1m1j1b1Z0_0met,em,2,0.020,100,5000,843,213.2
e1m1j1b1Z0_0met,ej,2,0.038,100,5000,939,117.6
e1m1j1b1Z0_0met,eb,2,0.072,100,5000,1044,65.1
e1m1j1b1Z0_0met,mj,2,0.038,100,5000,939,117.6
e1m1j1b1Z0_0met,mb,2,0.072,100,5000,1044,65.1
e1m1j1b1Z0_0met,jb,2,0.079,100,5000,1061,59.7
e1m1j1b1Z0_0met,emj,2,0.033,150,4000,918,109.2
e1m1j1b1Z0_0met,emb,2,0.060,150,4000,1013,63.7
e1m1j1b1Z0_0met,ejb,2,0.066,150,4000,1028,58.7
e1m1j1b1Z0_0met,mjb,2,0.066,150,4000,1028,58.7
e1m1j1b1Z0_0met,emjb,2,0.058,200,3000,1006,56.0
e1m1j1b1Z0_1met,em,2,0.020,100,5000,320,116.4
e1m1j1b1Z0_1met,ej,2,0.038,100,5000,357,66.8
e1m1j1b1Z0_1met,eb,2,0.072,100,5000,100,0.0
e1m1j1b1Z0_1met,mj,2,0.038,100,5000,357,66.8
e1m1j1b1Z0_1met,mb,2,0.072,100,5000,100,0.0
e1m1j1b1Z0_1met,jb,2,0.079,100,5000,100,0.0
e1m1j1b1Z0_1met,emj,2,0.033,150,4000,348,50.8
e1m1j1b1Z0_1met,emb,2,0.060,150,4000,150,0.0
e1m1j1b1Z0_1met,ejb,2,0.066,150,4000,150,0.0
e1m1j1b1Z0_1met,mjb,2,0.066,150,4000,150,0.0
e1m1j1b1Z0_1met,emjb,2,0.058,200,3000,200,0.0
e1m1j2b0Z0_0met,em,2,0.020,100,5000,1238,251.6
e1m1j2b0Z0_0met,ej,2,0.038,100,5000,1378,137.8
e1m1j2b0Z0_0met,ej,2,0.038,100,5000,1378,137.8
e1m1j2b0Z0_0met,mj,2,0.038,100,5000,1378,137.8
e1m1j2b0Z0_0met,mj,2,0.038,100,5000,1378,137.8
e1m1j2b0Z0_0met,jj,2,0.050,100,5000,1442,106.8
e1m1j2b0Z0_0met,emj,2,0.033,150,4000,1347,132.4
e1m1j2b0Z0_0met,emj,2,0.033,150,4000,1347,132.4
e1m1j2b0Z0_0met,ejj,2,0.042,150,4000,1403,105.4
e1m1j2b0Z0_0met,mjj,2,0.042,150,4000,1403,105.4
e1m1j2b0Z0_0met,emjj,2,0.038,200,3000,1378,101.4
e1m1j2b0Z0_1met,em,2,0.020,100,5000,470,154.8
e1m1j2b0Z0_1met,ej,2,0.038,100,5000,523,86.9
e1m1j2b0Z0_1met,ej,2,0.038,100,5000,523,86.9
e1m1j2b0Z0_1met,mj,2,0.038,100,5000,523,86.9
e1m1j2b0Z0_1met,mj,2,0.038,100,5000,523,86.9
e1m1j2b0Z0_1met,jj,2,0.050,100,5000,548,68.0
e1m1j2b0Z0_1met,emj,2,0.033,150,4000,512,74.0
e1m1j2b0Z0_1met,emj,2,0.033,150,4000,512,74.0
e1m1j2b0Z0_1met,ejj,2,0.042,150,4000,533,59.8
e1m1j2b0Z0_1met,mjj,2,0.042,150,4000,533,59.8
e1m1j2b0Z0_1met,emjj,2,0.038,200,3000,523,50.5
e1m2j0b0Z0_0met,em,1,0.020,100,5000,470,77.4
e1m2j0b0Z0_0met,em,1,0.020,100,5000,470,77.4
e1m2j0b0Z0_0met,mm,1,0.020,100,5000,470,77.4
e1m2j0b0Z0_0met,emm,1,0.020,150,4000,470,57.1
e1m2j0b0Z0_1met,em,1,0.020,100,5000,179,29.0
e1m2j0b0Z0_1met,em,1,0.020,100,5000,179,29.0
e1m2j0b0Z0_1met,mm,1,0.020,100,5000,179,29.0
e1m2j0b0Z0_1met,emm,1,0.020,150,4000,150,0.0
e1m2j0b0Z1_0met,em,1,0.020,100,5000,100,0.0
e1m2j0b0Z1_0met,em,1,0.020,100,5000,100,0.0
e1m2j0b0Z1_0met,eZ,1,0.020,131,5000,131,0.0
e1m2j0b0Z1_0met,mm,1,0.020,100,5000,100,0.0
e1m2j0b0Z1_0met,mZ,1,0.020,131,5000,131,0.0
e1m2j0b0Z1_0met,mZ,1,0.020,131,5000,131,0.0
e1m2j0b0Z1_0met,emm,1,0.020,150,4000,150,0.0
e1m2j0b0Z1_0met,emZ,1,0.020,171,4000,171,0.0
e1m2j0b0Z1_0met,emZ,1,0.020,171,4000,171,0.0
e1m2j0b0Z1_0met,mmZ,1,0.020,171,4000,171,0.0
e1m2j0b0Z1_0met,emmZ,1,0.020,211,3000,211,0.0
e1m2j0b0Z1_1met,em,1,0.020,100,5000,100,0.0
e1m2j0b0Z1_1met,em,1,0.020,100,5000,100,0.0
e1m2j0b0Z1_1met,eZ,1,0.020,131,5000,131,0.0
e1m2j0b0Z1_1met,mm,1,0.020,100,5000,100,0.0
e1m2j0b0Z1_1met,mZ,1,0.020,131,5000,131,0.0
e1m2j0b0Z1_1met,mZ,1,0.020,131,5000,131,0.0
e1m2j0b0Z1_1met,emm,1,0.020,150,4000,150,0.0
e1m2j0b0Z1_1met,emZ,1,0.020,171,4000,171,0.0
e1m2j0b0Z1_1met,emZ,1,0.020,171,4000,171,0.0
e1m2j0b0Z1_1met,mmZ,1,0.020,171,4000,171,0.0
e1m2j0b0Z1_1met,emmZ,1,0.020,211,3000,211,0.0
e1m2j0b1Z0_0met,em,1,0.020,100,5000,320,58.2
e1m2j0b1Z0_0met,em,1,0.020,100,5000,320,58.2
e1m2j0b1Z0_0met,eb,1,0.072,100,5000,100,0.0
e1m2j0b1Z0_0met,mm,1,0.020,100,5000,320,58.2
e1m2j0b1Z0_0met,mb,1,0.072,100,5000,100,0.0
e1m2j0b1Z0_0met,mb,1,0.072,100,5000,100,0.0
e1m2j0b1Z0_0met,emm,1,0.020,150,4000,320,37.9
e1m2j0b1Z0_0met,emb,1,0.060,150,4000,150,0.0
e1m2j0b1Z0_0met,emb,1,0.060,150,4000,150,0.0
e1m2j0b1Z0_0met,mmb,1,0.060,150,4000,150,0.0
e1m2j0b1Z0_0met,emmb,1,0.053,200,3000,200,0.0
e1m2j0b1Z0_1met,em,1,0.020,100,5000,100,0.0
e1m2j0b1Z0_1met,em,1,0.020,100,5000,100,0.0
e1m2j0b1Z0_1met,eb,1,0.072,100,5000,100,0.0
e1m2j0b1Z0_1met,mm,1,0.020,100,5000,100,0.0
e1m2j0b1Z0_1met,mb,1,0.072,100,5000,100,0.0
e1m2j0b1Z0_1met,mb,1,0.072,100,5000,100,0.0
e1m2j0b1Z0_1met,emm,1,0.020,150,4000,150,0.0
e1m2j0b1Z0_1met,emb,1,0.060,150,4000,150,0.0
e1m2j0b1Z0_1met,emb,1,0.060,150,4000,150,0.0
e1m2j0b1Z0_1met,mmb,1,0.060,150,4000,150,0.0
e1m2j0b1Z0_1met,emmb,1,0.053,200,3000,200,0.0
e1m2j1b0Z0_0met,em,1,0.020,100,5000,470,77.4
e1m2j1b0Z0_0met,em,1,0.020,100,5000,470,77.4
e1m2j1b0Z0_0met,ej,1,0.038,100,5000,523,43.5
e1m2j1b0Z0_0met,mm,1,0.020,100,5000,470,77.4
e1m2j1b0Z0_0met,mj,1,0.038,100,5000,523,43.5
e1m2j1b0Z0_0met,mj,1,0.038,100,5000,523,43.5
e1m2j1b0Z0_0met,emm,1,0.020,150,4000,470,57.1
e1m2j1b0Z0_0met,emj,1,0.033,150,4000,512,37.0
e1m2j1b0Z0_0met,emj,1,0.033,150,4000,512,37.0
e1m2j1b0Z0_0met,mmj,1,0.033,150,4000,512,37.0
e1m2j1b0Z0_0met,emmj,1,0.030,200,3000,504,30.4
e1m2j1b0Z0_1met,em,1,0.020,100,5000,179,29.0
e1m2j1b0Z0_1met,em,1,0.020,100,5000,179,29.0
e1m2j1b0Z0_1met,ej,1,0.038,100,5000,100,0.0
e1m2j1b0Z0_1met,mm,1,0.020,100,5000,179,29.0
e1m2j1b0Z0_1met,mj,1,0.038,100,5000,100,0.0
e1m2j1b0Z0_1met,mj,1,0.038,100,5000,100,0.0
e1m2j1b0Z0_1met,emm,1,0.020,150,4000,150,0.0
e1m2j1b0Z0_1met,emj,1,0.033,150,4000,150,0.0
e1m2j1b0Z0_1met,emj,1,0.033,150,4000,150,0.0
e1m2j1b0Z0_1met,mmj,1,0.033,150,4000,150,0.0
e1m2j1b0Z0_1met,emmj,1,0.030,200,3000,200,0.0
e2m0j0b0Z0_0met,ee,2,0.020,100,5000,1238,251.6
e2m0j0b0Z0_1met,ee,2,0.020,100,5000,470,154.8
e2m0j0b0Z1_0met,ee,2,0.020,100,5000,182,59.7
e2m0j0b0Z1_0met,eZ,2,0.020,131,5000,131,0.0
e2m0j0b0Z1_0met,eZ,2,0.020,131,5000,131,0.0
e2m0j0b0Z1_0met,eeZ,2,0.020,171,4000,171,0.0
e2m0j0b0Z1_1met,ee,2,0.020,100,5000,100,0.0
e2m0j0b0Z1_1met,eZ,2,0.020,131,5000,131,0.0
e2m0j0b0Z1_1met,eZ,2,0.020,131,5000,131,0.0
e2m0j0b0Z1_1met,eeZ,2,0.020,171,4000,171,0.0
e2m0j0b1Z0_0met,ee,2,0.020,100,5000,843,213.2
e2m0j0b1Z0_0met,eb,2,0.072,100,5000,1044,65.1
e2m0j0b1Z0_0met,eb,2,0.072,100,5000,1044,65.1
e2m0j0b1Z0_0met,eeb,2,0.060,150,4000,1013,63.7
e2m0j0b1Z0_1met,ee,2,0.020,100,5000,320,116.4
e2m0j0b1Z0_1met,eb,2,0.072,100,5000,100,0.0
e2m0j0b1Z0_1met,eb,2,0.072,100,5000,100,0.0
e2m0j0b1Z0_1met,eeb,2,0.060,150,4000,150,0.0
e2m0j0b1Z1_0met,ee,2,0.020,100,5000,100,0.0
e2m0j0b1Z1_0met,eb,2,0.072,100,5000,100,0.0
e2m0j0b1Z1_0met,eZ,2,0.020,131,5000,131,0.0
e2m0j0b1Z1_0met,eb,2,0.072,100,5000,100,0.0
e2m0j0b1Z1_0met,eZ,2,0.020,131,5000,131,0.0
e2m0j0b1Z1_0met,bZ,2,0.072,131,5000,131,0.0
e2m0j0b1Z1_0met,eeb,2,0.060,150,4000,150,0.0
e2m0j0b1Z1_0met,eeZ,2,0.020,171,4000,171,0.0
e2m0j0b1Z1_0met,ebZ,2,0.060,171,4000,171,0.0
e2m0j0b1Z1_0met,ebZ,2,0.060,171,4000,171,0.0
e2m0j0b1Z1_0met,eebZ,2,0.053,211,3000,211,0.0
e2m0j0b1Z1_1met,ee,2,0.020,100,5000,100,0.0
e2m0j0b1Z1_1met,eb,2,0.072,100,5000,100,0.0
e2m0j0b1Z1_1met,eZ,2,0.020,131,5000,131,0.0
e2m0j0b1Z1_1met,eb,2,0.072,100,5000,100,0.0
e2m0j0b1Z1_1met,eZ,2,0.020,131,5000,131,0.0
e2m0j0b1Z1_1met,bZ,2,0.072,131,5000,131,0.0
e2m0j0b1Z1_1met,eeb,2,0.060,150,4000,150,0.0
e2m0j0b1Z1_1met,eeZ,2,0.020,171,4000,171,0.0
e2m0j0b1Z1_1met,ebZ,2,0.060,171,4000,171,0.0
e2m0j0b1Z1_1met,ebZ,2,0.060,171,4000,171,0.0
e2m0j0b1Z1_1met,eebZ,2,0.053,211,3000,211,0.0
e2m0j0b2Z0_0met,ee,2,0.020,100,5000,575,174.9
e2m0j0b2Z0_0met,eb,2,0.072,100,5000,712,54.4
e2m0j0b2Z0_0met,eb,2,0.072,100,5000,712,54.4
e2m0j0b2Z0_0met,eb,2,0.072,100,5000,712,54.4
e2m0j0b2Z0_0met,eb,2,0.072,100,5000,712,54.4
e2m0j0b2Z0_0met,bb,2,0.100,100,5000,100,0.0
e2m0j0b2Z0_0met,eeb,2,0.060,150,4000,690,50.9
e2m0j0b2Z0_0met,eeb,2,0.060,150,4000,690,50.9
e2m0j0b2Z0_0met,ebb,2,0.082,150,4000,150,0.0
e2m0j0b2Z0_0met,ebb,2,0.082,150,4000,150,0.0
e2m0j0b2Z0_0met,eebb,2,0.072,200,3000,200,0.0
e2m0j0b2Z0_1met,ee,2,0.020,100,5000,218,78.0
e2m0j0b2Z0_1met,eb,2,0.072,100,5000,100,0.0
e2m0j0b2Z0_1met,eb,2,0.072,100,5000,100,0.0
e2m0j0b2Z0_1met,eb,2,0.072,100,5000,100,0.0
e2m0j0b2Z0_1met,eb,2,0.072,100,5000,100,0.0
e2m0j0b2Z0_1met,bb,2,0.100,100,5000,100,0.0
e2m0j0b2Z0_1met,eeb,2,0.060,150,4000,150,0.0
e2m0j0b2Z0_1met,eeb,2,0.060,150,4000,150,0.0
e2m0j0b2Z0_1met,ebb,2,0.082,150,4000,150,0.0
e2m0j0b2Z0_1met,ebb,2,0.082,150,4000,150,0.0
e2m0j0b2Z0_1met,eebb,2,0.072,200,3000,200,0.0
e2m0j1b0Z0_0met,ee,2,0.020,100,5000,1238,251.6
e2m0j1b0Z0_0met,ej,2,0.038,100,5000,1378,137.8
e2m0j1b0Z0_0met,ej,2,0.038,100,5000,1378,137.8
e2m0j1b0Z0_0met,eej,2,0.033,150,4000,1347,132.4
e2m0j1b0Z0_1met,ee,2,0.020,100,5000,470,154.8
e2m0j1b0Z0_1met,ej,2,0.038,100,5000,523,86.9
e2m0j1b0Z0_1met,ej,2,0.038,100,5000,523,86.9
e2m0j1b0Z0_1met,eej,2,0.033,150,4000,512,74.0
e2m0j1b0Z1_0met,ee,2,0.020,100,5000,182,59.7
e2m0j1b0Z1_0met,ej,2,0.038,100,5000,100,0.0
e2m0j1b0Z1_0met,eZ,2,0.020,131,5000,131,0.0
e2m0j1b0Z1_0met,ej,2,0.038,100,5000,100,0.0
e2m0j1b0Z1_0met,eZ,2,0.020,131,5000,131,0.0
e2m0j1b0Z1_0met,jZ,2,0.038,131,5000,131,0.0
e2m0j1b0Z1_0met,eej,2,0.033,150,4000,150,0.0
e2m0j1b0Z1_0met,eeZ,2,0.020,171,4000,171,0.0
e2m0j1b0Z1_0met,ejZ,2,0.033,171,4000,171,0.0
e2m0j1b0Z1_0met,ejZ,2,0.033,171,4000,171,0.0
e2m0j1b0Z1_0met,eejZ,2,0.030,211,3000,211,0.0
e2m0j1b0Z1_1met,ee,2,0.020,100,5000,100,0.0
e2m0j1b0Z1_1met,ej,2,0.038,100,5000,100,0.0
e2m0j1b0Z1_1met,eZ,2,0.020,131,5000,131,0.0
e2m0j1b0Z1_1met,ej,2,0.038,100,5000,100,0.0
e2m0j1b0Z1_1met,eZ,2,0.020,131,5000,131,0.0
e2m0j1b0Z1_1met,jZ,2,0.038,131,5000,131,0.0
e2m0j1b0Z1_1met,eej,2,0.033,150,4000,150,0.0
e2m0j1b0Z1_1met,eeZ,2,0.020,171,4000,171,0.0
e2m0j1b0Z1_1met,ejZ,2,0.033,171,4000,171,0.0
e2m0j1b0Z1_1met,ejZ,2,0.033,171,4000,171,0.0
e2m0j1b0Z1_1met,eejZ,2,0.030,211,3000,211,0.0
e2m0j1b1Z0_0met,ee,2,0.020,100,5000,843,213.2
e2m0j1b1Z0_0met,ej,2,0.038,100,5000,939,117.6
e2m0j1b1Z0_0met,eb,2,0.072,100,5000,1044,65.1
e2m0j1b1Z0_0met,ej,2,0.038,100,5000,939,117.6
e2m0j1b1Z0_0met,eb,2,0.072,100,5000,1044,65.1
e2m0j1b1Z0_0met,jb,2,0.079,100,5000,1061,59.7
e2m0j1b1Z0_0met,eej,2,0.033,150,4000,918,109.2
e2m0j1b1Z0_0met,eeb,2,0.060,150,4000,1013,63.7
e2m0j1b1Z0_0met,ejb,2,0.066,150,4000,1028,58.7
e2m0j1b1Z0_0met,ejb,2,0.066,150,4000,1028,58.7
e2m0j1b1Z0_0met,eejb,2,0.058,200,3000,1006,56.0
e2m0j1b1Z0_1met,ee,2,0.020,100,5000,320,116.4
e2m0j1b1Z0_1met,ej,2,0.038,100,5000,357,66.8
e2m0j1b1Z0_1met,eb,2,0.072,100,5000,100,0.0
e2m0j1b1Z0_1met,ej,2,0.038,100,5000,357,66.8
e2m0j1b1Z0_1met,eb,2,0.072,100,5000,100,0.0
e2m0j1b1Z0_1met,jb,2,0.079,100,5000,100,0.0
e2m0j1b1Z0_1met,eej,2,0.033,150,4000,348,50.8
e2m0j1b1Z0_1met,eeb,2,0.060,150,4000,150,0.0
e2m0j1b1Z0_1met,ejb,2,0.066,150,4000,150,0.0
e2m0j1b1Z0_1met,ejb,2,0.066,150,4000,150,0.0
e2m0j1b1Z0_1met,eejb,2,0.058,200,3000,200,0.0
e2m0j2b0Z0_0met,ee,2,0.020,100,5000,1238,251.6
e2m0j2b0Z0_0met,ej,2,0.038,100,5000,1378,137.8
e2m0j2b0Z0_0met,ej,2,0.038,100,5000,1378,137.8
e2m0j2b0Z0_0met,ej,2,0.038,100,5000,1378,137.8
e2m0j2b0Z0_0met,ej,2,0.038,100,5000,1378,137.8
e2m0j2b0Z0_0met,jj,2,0.050,100,5000,1442,106.8
e2m0j2b0Z0_0met,eej,2,0.033,150,4000,1347,132.4
e2m0j2b0Z0_0met,eej,2,0.033,150,4000,1347,132.4
e2m0j2b0Z0_0met,ejj,2,0.042,150,4000,1403,105.4
e2m0j2b0Z0_0met,ejj,2,0.042,150,4000,1403,105.4
e2m0j2b0Z0_0met,eejj,2,0.038,200,3000,1378,101.4
e2m0j2b0Z0_1met,ee,2,0.020,100,5000,470,154.8
e2m0j2b0Z0_1met,ej,2,0.038,100,5000,523,86.9
e2m0j2b0Z0_1met,ej,2,0.038,100,5000,523,86.9
e2m0j2b0Z0_1met,ej,2,0.038,100,5000,523,86.9
e2m0j2b0Z0_1met,ej,2,0.038,100,5000,523,86.9
e2m0j2b0Z0_1met,jj,2,0.050,100,5000,548,68.0
e2m0j2b0Z0_1met,eej,2,0.033,150,4000,512,74.0
e2m0j2b0Z0_1met,eej,2,0.033,150,4000,512,74.0
e2m0j2b0Z0_1met,ejj,2,0.042,150,4000,533,59.8
e2m0j2b0Z0_1met,ejj,2,0.042,150,4000,533,59.8
e2m0j2b0Z0_1met,eejj,2,0.038,200,3000,523,50.5
e2m1j0b0Z0_0met,ee,1,0.020,100,5000,470,77.4
e2m1j0b0Z0_0met,em,1,0.020,100,5000,470,77.4
e2m1j0b0Z0_0met,em,1,0.020,100,5000,470,77.4
e2m1j0b0Z0_0met,eem,1,0.020,150,4000,470,57.1
e2m1j0b0Z0_1met,ee,1,0.020,100,5000,179,29.0
e2m1j0b0Z0_1met,em,1,0.020,100,5000,179,29.0
e2m1j0b0Z0_1met,em,1,0.020,100,5000,179,29.0
e2m1j0b0Z0_1met,eem,1,0.020,150,4000,150,0.0
e2m1j0b0Z1_0met,ee,1,0.020,100,5000,100,0.0
e2m1j0b0Z1_0met,em,1,0.020,100,5000,100,0.0
e2m1j0b0Z1_0met,eZ,1,0.020,131,5000,131,0.0
e2m1j0b0Z1_0met,em,1,0.020,100,5000,100,0.0
e2m1j0b0Z1_0met,eZ,1,0.020,131,5000,131,0.0
e2m1j0b0Z1_0met,mZ,1,0.020,131,5000,131,0.0
e2m1j0b0Z1_0met,eem,1,0.020,150,4000,150,0.0
e2m1j0b0Z1_0met,eeZ,1,0.020,171,4000,171,0.0
e2m1j0b0Z1_0met,emZ,1,0.020,171,4000,171,0.0
e2m1j0b0Z1_0met,emZ,1,0.020,171,4000,171,0.0
e2m1j0b0Z1_0met,eemZ,1,0.020,211,3000,211,0.0
e2m1j0b0Z1_1met,ee,1,0.020,100,5000,100,0.0
e2m1j0b0Z1_1met,em,1,0.020,100,5000,100,0.0
e2m1j0b0Z1_1met,eZ,1,0.020,131,5000,131,0.0
e2m1j0b0Z1_1met,em,1,0.020,100,5000,100,0.0
e2m1j0b0Z1_1met,eZ,1,0.020,131,5000,131,0.0
e2m1j0b0Z1_1met,mZ,1,0.020,131,5000,131,0.0
e2m1j0b0Z1_1met,eem,1,0.020,150,4000,150,0.0
e2m1j0b0Z1_1met,eeZ,1,0.020,171,4000,171,0.0
e2m1j0b0Z1_1met,emZ,1,0.020,171,4000,171,0.0
e2m1j0b0Z1_1met,emZ,1,0.020,171,4000,171,0.0
e2m1j0b0Z1_1met,eemZ,1,0.020,211,3000,211,0.0
e2m1j0b1Z0_0met,ee,1,0.020,100,5000,320,58.2
e2m1j0b1Z0_0met,em,1,0.020,100,5000,320,58.2
e2m1j0b1Z0_0met,eb,1,0.072,100,5000,100,0.0
e2m1j0b1Z0_0met,em,1,0.020,100,5000,320,58.2
e2m1j0b1Z0_0met,eb,1,0.072,100,5000,100,0.0
e2m1j0b1Z0_0met,mb,1,0.072,100,5000,100,0.0
e2m1j0b1Z0_0met,eem,1,0.020,150,4000,320,37.9
e2m1j0b1Z0_0met,eeb,1,0.060,150,4000,150,0.0
e2m1j0b1Z0_0met,emb,1,0.060,150,4000,150,0.0
e2m1j0b1Z0_0met,emb,1,0.060,150,4000,150,0.0
e2m1j0b1Z0_0met,eemb,1,0.053,200,3000,200,0.0
e2m1j0b1Z0_1met,ee,1,0.020,100,5000,100,0.0
e2m1j0b1Z0_1met,em,1,0.020,100,5000,100,0.0
e2m1j0b1Z0_1met,eb,1,0.072,100,5000,100,0.0
e2m1j0b1Z0_1met,em,1,0.020,100,5000,100,0.0
e2m1j0b1Z0_1met,eb,1,0.072,100,5000,100,0.0
e2m1j0b1Z0_1met,mb,1,0.072,100,5000,100,0.0
e2m1j0b1Z0_1met,eem,1,0.020,150,4000,150,0.0
e2m1j0b1Z0_1met,eeb,1,0.060,150,4000,150,0.0
e2m1j0b1Z0_1met,emb,1,0.060,150,4000,150,0.0
e2m1j0b1Z0_1met,emb,1,0.060,150,4000,150,0.0
e2m1j0b1Z0_1met,eemb,1,0.053,200,3000,200,0.0
e2m1j1b0Z0_0met,ee,1,0.020,100,5000,470,77.4
e2m1j1b0Z0_0met,em,1,0.020,100,5000,470,77.4
e2m1j1b0Z0_0met,ej,1,0.038,100,5000,523,43.5
e2m1j1b0Z0_0met,em,1,0.020,100,5000,470,77.4
e2m1j1b0Z0_0met,ej,1,0.038,100,5000,523,43.5
e2m1j1b0Z0_0met,mj,1,0.038,100,5000,523,43.5
e2m1j1b0Z0_0met,eem,1,0.020,150,4000,470,57.1
e2m1j1b0Z0_0met,eej,1,0.033,150,4000,512,37.0
e2m1j1b0Z0_0met,emj,1,0.033,150,4000,512,37.0
e2m1j1b0Z0_0met,emj,1,0.033,150,4000,512,37.0
e2m1j1b0Z0_0met,eemj,1,0.030,200,3000,504,30.4
e2m1j1b0Z0_1met,ee,1,0.020,100,5000,179,29.0
e2m1j1b0Z0_1met,em,1,0.020,100,5000,179,29.0
e2m1j1b0Z0_1met,ej,1,0.038,100,5000,100,0.0
e2m1j1b0Z0_1met,em,1,0.020,100,5000,179,29.0
e2m1j1b0Z0_1met,ej,1,0.038,100,5000,100,0.0
e2m1j1b0Z0_1met,mj,1,0.038,100,5000,100,0.0
e2m1j1b0Z0_1met,eem,1,0.020,150,4000,150,0.0
e2m1j1b0Z0_1met,eej,1,0.033,150,4000,150,0.0
e2m1j1b0Z0_1met,emj,1,0.033,150,4000,150,0.0
e2m1j1b0Z0_1met,emj,1,0.033,150,4000,150,0.0
e2m1j1b0Z0_1met,eemj,1,0.030,200,3000,200,0.0
e2m2j0b0Z0_0met,ee,1,0.020,100,5000,179,29.0
e2m2j0b0Z0_0met,em,1,0.020,100,5000,179,29.0
e2m2j0b0Z0_0met,em,1,0.020,100,5000,179,29.0
e2m2j0b0Z0_0met,em,1,0.020,100,5000,179,29.0
e2m2j0b0Z0_0met,em,1,0.020,100,5000,179,29.0
e2m2j0b0Z0_0met,mm,1,0.020,100,5000,179,29.0
e2m2j0b0Z0_0met,eem,1,0.020,150,4000,150,0.0
e2m2j0b0Z0_0met,eem,1,0.020,150,4000,150,0.0
