q,EK_null,P_reject_null,E_false_conf,P_false_conf,P_sel_mu3,P_sel_mu4,P_sel_mu5,P_sel_mu6,power_mu3,power_mu4,power_mu5,power_mu6
0.2577,0.4691,0.2572,6.333e-04,6.325e-04,0.1171,0.4208,0.7844,0.9634,0.0585,0.3541,0.7666,0.9621
0.2886,0.5713,0.2882,7.712e-04,7.701e-04,0.1254,0.4363,0.7956,0.9662,0.0627,0.3671,0.7775,0.9649
0.3232,0.7041,0.3226,9.505e-04,9.488e-04,0.1347,0.4531,0.8074,0.9691,0.0674,0.3812,0.7890,0.9678
0.3620,0.8894,0.3618,1.201e-03,1.198e-03,0.1451,0.4713,0.8193,0.9718,0.0725,0.3965,0.8006,0.9705
0.4054,1.1471,0.4056,1.549e-03,1.544e-03,0.1576,0.4915,0.8320,0.9747,0.0788,0.4135,0.8131,0.9734
0.4540,1.5229,0.4539,2.056e-03,2.048e-03,0.1726,0.5144,0.8453,0.9776,0.0863,0.4328,0.8260,0.9763
0.5000,2.0044,0.5008,2.706e-03,2.693e-03,0.1882,0.5360,0.8568,0.9802,0.0941,0.4510,0.8373,0.9788
0.5085,2.1101,0.5092,2.848e-03,2.834e-03,0.1909,0.5400,0.8592,0.9807,0.0955,0.4543,0.8396,0.9793
0.5695,3.0792,0.5700,4.157e-03,4.127e-03,0.2137,0.5693,0.8742,0.9837,0.1068,0.4789,0.8544,0.9823
0.6378,4.8605,0.6385,6.561e-03,6.490e-03,0.2442,0.6057,0.8914,0.9867,0.1221,0.5096,0.8711,0.9854
0.7143,8.7376,0.7142,1.179e-02,1.157e-02,0.2863,0.6510,0.9107,0.9897,0.1431,0.5477,0.8899,0.9884
0.8000,19.9833,0.7999,2.698e-02,2.587e-02,0.3543,0.7122,0.9329,0.9931,0.1772,0.5992,0.9117,0.9918
